Cement,Clinker,Slag,FlyAsh,Limestones,Gypsum,Water,Chemical Admixture,coarseagg,fineagg,Age,Strength (MPa),CO2 (kg),Cost (USD)
220,209,0,0,0,11,165,2,1025,987,3,6.8,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,3,6.9,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,3,7.1,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,7,8.1,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,7,8.6,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,7,10.1,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,14,12.4,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,14,13.7,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,14,14.2,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,21,15.4,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,28,15.6,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,21,16,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,28,16.1,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,21,16.2,233.6018,76.2905
220,209,0,0,0,11,165,2,1025,987,28,16.4,233.6018,76.2905
250,237.5,0,0,0,12.5,160,2,1025,967,3,7.7,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,3,7.9,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,3,8.3,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,7,9.1,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,7,10,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,14,15.5,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,14,16.2,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,14,16.5,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,21,16.8,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,28,16.8,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,28,17.6,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,21,18.2,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,21,18.9,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,28,20.8,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1025,967,7,22.9,262.2109,77.458
250,237.5,0,0,0,12.5,160,2,1020,952,3,10.1,262.0434,77.018
250,237.5,0,0,0,12.5,160,2,1020,952,3,10.4,262.0434,77.018
250,237.5,0,0,0,12.5,160,2,1020,952,3,10.5,262.0434,77.018
250,237.5,0,0,0,12.5,160,2,1020,952,7,14.1,262.0434,77.018
250,237.5,0,0,0,12.5,160,2,1020,952,7,15.5,262.0434,77.018
250,237.5,0,0,0,12.5,160,2,1020,952,28,23.03783728,262.0434,77.018
250,237.5,0,0,0,12.5,160,2,1020,952,28,23.20978559,262.0434,77.018
250,237.5,0,0,0,12.5,160,2,1020,952,28,24.07340565,262.0434,77.018
300,285,0,0,0,15,160,2.5,1025,915,3,15.4,310.1395,80.13
300,285,0,0,0,15,160,2.5,1025,915,3,19.2,310.1395,80.13
300,285,0,0,0,15,160,2.5,1025,915,3,20.3,310.1395,80.13
300,285,0,0,0,15,160,2.5,1025,915,7,21.1,310.1395,80.13
300,285,0,0,0,15,160,2.5,1025,915,7,24.1,310.1395,80.13
300,285,0,0,0,15,160,2.5,1025,915,7,25.6,310.1395,80.13
300,285,0,0,0,15,160,2.5,1025,915,14,28.6,310.1395,80.13
300,285,0,0,0,15,160,2.5,1025,915,14,30.3,310.1395,80.13
300,285,0,0,0,15,160,2.5,1025,915,14,32.1,310.1395,80.13
300,285,0,0,0,15,160,2.5,1025,915,21,32.4,310.1395,80.13
300,285,0,0,0,15,160,2.5,1025,915,28,32.5,310.1395,80.13
